x,y,u,v,p,vMag
8.64949855e-02,-7.60910763e-02,-2.68246025e-01,9.49685723e-02,-1.25444770e-01,2.84560978e-01
2.30859327e-01,-1.58102077e-01,3.96618783e-01,-7.23058462e-01,-3.30489315e-02,8.24693859e-01
-2.40598990e-01,2.58720686e-01,7.81602144e-01,2.42204353e-01,1.07587612e+00,8.18269432e-01
-1.36602740e-01,2.68345242e-01,-2.75390148e-01,2.16966912e-01,9.41555202e-03,3.50591451e-01
-3.65275292e-01,2.68710380e-01,7.29471922e-01,2.26243034e-01,1.18137729e+00,7.63750732e-01
1.86356451e-01,2.48548603e-01,1.31220579e-01,-9.90874693e-02,-5.01504362e-01,1.64429829e-01
-2.03652094e-01,-2.59891866e-01,5.88131309e-01,1.24741927e-01,3.53016019e-01,6.01214588e-01
-2.71714729e-01,2.96709399e-01,7.28432536e-01,2.25350216e-01,1.18148494e+00,7.62493730e-01
6.13322877e-01,2.26352841e-01,2.76444674e+00,-2.15820217e+00,1.75586522e+00,3.50713587e+00
6.01294629e-02,-3.35967198e-01,6.37576580e-01,1.10432848e-01,1.10043633e+00,6.47069752e-01
2.61150409e-01,1.11564505e-01,2.40317389e-01,1.63340583e-01,3.17220032e-01,2.90572882e-01
2.45371767e-02,1.87597717e-01,2.23358199e-01,9.57001597e-02,-3.23792636e-01,2.42996722e-01
-2.52024824e-01,-2.93528882e-01,5.10601878e-01,7.23113567e-02,2.74352252e-01,5.15696824e-01
-8.39845544e-02,2.11294038e-01,-2.72801369e-01,4.55721021e-01,3.08922112e-01,5.31132936e-01
2.74782403e-01,3.19037915e-01,4.00935858e-01,4.79963273e-02,5.35807848e-01,4.03798491e-01
2.46790521e-01,1.61638509e-01,-3.20806503e-01,-1.82394594e-01,5.11280060e-01,3.69031996e-01
3.64468257e-01,-1.39443098e-01,4.63182062e-01,-2.18737215e-01,1.91363618e-01,5.12233913e-01
4.70213599e-01,2.22545569e-01,1.97145626e-01,-1.40340352e+00,-9.90158021e-01,1.41718304e+00
1.32333408e-01,1.35087824e-01,2.08740070e-01,2.95897573e-02,-3.51698816e-01,2.10826874e-01
2.34623318e-01,-3.29938725e-01,7.52739906e-02,-9.15931523e-01,-6.56104803e-01,9.19019461e-01
2.02147389e-01,3.66829529e-01,1.02485560e-01,-1.32855341e-01,-4.03900087e-01,1.67791039e-01
1.06062822e-01,1.26622261e-01,2.37861842e-01,-2.43636966e-03,-3.80252302e-01,2.37874314e-01
3.62638306e-01,9.38186221e-02,-3.17480825e-02,-5.85693270e-02,-1.84410930e-01,6.66206181e-02
4.00753428e-01,-1.75026457e-02,-9.77692008e-02,-8.19137037e-01,-1.44331276e-01,8.24951053e-01
